,Content ID,Score,Reaction Type,Datetime,Content Type,Category
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,0,disgust,07-11-2020 09:43,photo,Studying
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,10,dislike,17-06-2021 12:22,photo,Studying
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,15,scared,18-04-2021 05:13,photo,Studying
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,0,disgust,06-01-2021 19:13,photo,Studying
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,30,interested,23-08-2020 12:25,photo,Studying
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,35,peeking,07-12-2020 06:27,photo,Studying
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,70,cherish,11-04-2021 17:35,photo,Studying
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,5,hate,27-01-2021 08:32,photo,Studying
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,35,peeking,01-04-2021 22:54,photo,Studying
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,65,love,04-08-2020 05:05,photo,Studying
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,20,indifferent,07-11-2020 08:36,photo,Studying
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,15,scared,02-11-2020 06:28,photo,Studying
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,30,interested,01-11-2020 01:16,photo,Studying
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,5,hate,07-10-2020 18:39,photo,Studying
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,15,scared,03-09-2020 18:51,photo,Studying
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,75,super love,24-02-2021 05:09,photo,Studying
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,35,peeking,23-09-2020 06:24,photo,Studying
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,20,indifferent,24-02-2021 11:37,photo,Studying
